"Algorithm","n","X2","ii","Iopt","Iopt.approx"
"MB_SDP",30,2,1,3.82822563403563,0.619311753227868
"EXACT",30,2,1,0.513544181738102,0.453176797616562
"LB_APPROX",30,2,1,0.862546146160105,0.49749503505126
"CE",30,2,1,0.386863820120888,0.386528288588342
"IP",30,2,1,0.386863820120888,0.386528288588342
"MB_SDP",30,2,2,4.16251781988874,0.583155351396672
"EXACT",30,2,2,0.601817712713484,0.498051953851443
"LB_APPROX",30,2,2,0.510696628356378,0.472380946489987
"CE",30,2,2,0.410895577828018,0.408967458147537
"IP",30,2,2,0.410895577828018,0.408967458147537
"MB_SDP",30,2,3,2.57659969976519,0.399147430204458
"EXACT",30,2,3,0.376752909201842,0.316211553924653
"LB_APPROX",30,2,3,0.40627012955992,0.319206140228675
"CE",30,2,3,0.312725215629896,0.289081328160132
"IP",30,2,3,0.312432782370734,0.289034231333936
"MB_SDP",30,2,4,0.69259598632899,0.343238240669446
"EXACT",30,2,4,0.366702551857879,0.294466564125425
"LB_APPROX",30,2,4,0.31448277438847,0.275941288194609
"CE",30,2,4,0.292174389823911,0.264317441001044
"IP",30,2,4,0.290583827770321,0.263767040688385
"MB_SDP",30,2,5,2.89582533795422,0.473506930285811
"EXACT",30,2,5,0.825368830812018,0.41456135501327
"LB_APPROX",30,2,5,0.402026086261142,0.36116133049605
"CE",30,2,5,0.327268460820645,0.321387228063739
"IP",30,2,5,0.32710334613419,0.321292092975484
"MB_SDP",40,2,1,0.612904944273744,0.298173233343665
"EXACT",40,2,1,0.302532519695286,0.243313683658796
"LB_APPROX",40,2,1,0.251444733732543,0.230889288828145
"CE",40,2,1,0.200915683034866,0.200910030091112
"IP",40,2,1,0.200706869149854,0.2007027821162
"MB_SDP",40,2,2,2.48021872775547,0.427220207633821
"EXACT",40,2,2,0.390616260446243,0.347488188148717
"LB_APPROX",40,2,2,0.38483861669426,0.327941530689361
"CE",40,2,2,0.285032909314515,0.282581327163015
"IP",40,2,2,0.284972546141334,0.282522145794197
"MB_SDP",40,2,3,3.2397072101906,0.306198267887687
"EXACT",40,2,3,0.211829863392644,0.207583141235889
"LB_APPROX",40,2,3,0.209485557236535,0.206735170939119
"CE",40,2,3,0.192463111910966,0.192456435512567
"IP",40,2,3,0.192101311167456,0.192100352681508
"MB_SDP",40,2,4,0.807040685670955,0.2679396558625
"EXACT",40,2,4,0.216889112282754,0.196232869978517
"LB_APPROX",40,2,4,0.187960062543867,0.183058847335517
"CE",40,2,4,0.167334721935756,0.167316376428475
"IP",40,2,4,0.167059320664266,0.167049482994538
"MB_SDP",40,2,5,1.06468174915412,0.361998331442639
"EXACT",40,2,5,0.34791391551809,0.303633037476205
"LB_APPROX",40,2,5,0.402287151703622,0.321833831806636
"CE",40,2,5,0.262799022520362,0.262314321211922
"IP",40,2,5,0.262295829410866,0.261917033023594
"MB_SDP",50,2,1,1.15572095498155,0.287043610345442
"EXACT",50,2,1,0.215159076854329,0.207683462638898
"LB_APPROX",50,2,1,0.217962959022359,0.209305708528986
"CE",50,2,1,0.18695584484693,0.186879415820474
"IP",50,2,1,0.186876432783137,0.186805602532466
"MB_SDP",50,2,2,0.520329002232383,0.195833017665156
"EXACT",50,2,2,0.15214871358915,0.148631074978854
"LB_APPROX",50,2,2,0.166409841553229,0.152270755214554
"CE",50,2,2,0.132143415174325,0.132093228236467
"IP",50,2,2,0.131812613493423,0.131784843012534
"MB_SDP",50,2,3,0.565694119422872,0.246063418377081
"EXACT",50,2,3,0.22040122357634,0.193607527124121
"LB_APPROX",50,2,3,0.198822827793168,0.188645244204267
"CE",50,2,3,0.162924237085991,0.162922482046768
"IP",50,2,3,0.162691538212017,0.162691051440523
"MB_SDP",50,2,4,4.6140099572733,0.307431029865671
"EXACT",50,2,4,0.227882323015352,0.217105528151612
"LB_APPROX",50,2,4,0.221064652283232,0.213949877409937
"CE",50,2,4,0.190751537829475,0.19072538673493
"IP",50,2,4,0.190061118394661,0.190058388472757
"MB_SDP",50,2,5,0.926719252508283,0.307781955136399
"EXACT",50,2,5,0.271632686994584,0.239936604626649
"LB_APPROX",50,2,5,0.251023766896619,0.232877620345607
"CE",50,2,5,0.198794250458796,0.19879115930187
"IP",50,2,5,0.19870706993534,0.198704873177676
